factor,mean_ic,ic_tstat,ic_ir,mean_autocorr,avg_decile_spread,avg_decile_0,avg_decile_1,avg_decile_2,avg_decile_3,avg_decile_4,avg_decile_5,avg_decile_6,avg_decile_7,avg_decile_8,avg_decile_9,ls_return_mean,ls_return_std,ls_sharpe,ls_max_drawdown,ff_alpha,ff_t_alpha,ff_p_alpha,ff_beta_mktrf,ff_t_mktrf,ff_p_mktrf,ff_beta_smb,ff_t_smb,ff_p_smb,ff_beta_hml,ff_t_hml,ff_p_hml,ff_beta_umd,ff_t_umd,ff_p_umd,ic_hit_rate,recent_ic_mean_60d,ls_sharpe_last_yr,ls_max_drawdown_last_yr,ic_mean_12m,dq_total_dates,dq_total_tickers,dq_non_null_obs,dq_pct_non_null,dq_mean_coverage,dq_median_coverage,dq_min_coverage,dq_pct_allnan_dates
earnings_yield_pe_inv,-0.004638292087813215,-4.990997946609547,-0.061858145662490996,1.0,0.00976591305918083,0.0008679700541678904,0.0007942981773777436,0.0007690808804170744,0.0007283499783124071,0.0006379776150402875,0.0006538642373963358,0.0006548741942284446,0.0007176598594626155,0.0006553627935402128,0.0005801204194057993,-0.00028706648743179994,0.005495325280945871,-0.8292574106055426,-0.8717256016366337,-0.0002851054790941046,-4.181677755817281,2.93173539553937e-05,-0.003422509211375478,-0.5943966192060856,0.5522675821692267,-0.01137677348641304,-1.0566673655325503,0.29070274226763315,0.02865045933520491,3.0897434002195308,0.0020117679469811023,-0.003330357479834367,-0.4762253188680095,0.6339298895948335,0.4706605222734255,-0.01805381906431066,-2.8159789632636296,-0.24023349170301256,,,,,,,,,
industry_co_momentum,0.0010417514313850347,0.6581243871787802,0.008333359393893305,-0.0009918962229331328,0.011393666752051652,0.0006779893667206784,0.0004975143451917626,0.000584648213444955,0.0006264076079158442,0.0006117879665518613,0.0007637894997565961,0.0011778698406592287,0.0014633788380538023,-0.004602905187888958,,-5.045621268557616e-06,0.008750852859774795,-0.009153022659849807,-0.5454036373775568,2.680275176608699e-06,0.024349686608487704,0.9805744619002743,0.0212000379836928,2.228182924430694,0.025903939363316475,-0.012172122589712082,-0.6761608645783888,0.49896366089864275,0.012547868165442988,0.8214697838154799,0.41141021824247503,0.02164818014306569,1.8623123257105538,0.06260620364632019,0.5032868366201699,-0.011799386870614088,-0.8228849554634611,-0.2292913731794437,-0.007814196155515629,6248.0,688.0,4298624.0,1.0,1.0,1.0,1.0,0.0
momentum_12m,0.010489772491849816,5.182124199205676,0.06561754011410206,0.992425261535035,0.014020930797134299,0.0010029844381435557,0.0006477996636748216,0.0006300749397941582,0.0006435987459764709,0.0006182952026328626,0.0006063406025559389,0.0005628187066608905,0.00062646790759743,0.0006193604402169162,0.0008185618234868787,-0.00018410697482786322,0.014405563142435702,-0.20288048382866425,-0.9172728115855876,-0.00017699968098044627,-0.977738499760118,0.328241706377989,-0.04712775349496205,-3.011807301240164,0.002607416015435904,0.01983368510580592,0.6699206544368167,0.5029332449541002,-0.008690052003648094,-0.3459236562892738,0.7294117910567954,0.13585452253560273,7.106266098721858,1.325606291402437e-12,0.5385602052268719,0.04396542703087532,-0.5747597127065099,-0.24287074540656295,0.0240580329583367,6248.0,688.0,4298624.0,1.0,1.0,1.0,1.0,0.0
residual_momentum_12m,0.01129124868767949,6.00915032609393,0.07759072999222291,0.9921432794575249,0.013140673338337136,0.000772573528707149,0.0006449572981373386,0.0005668610664044546,0.0006158560449346233,0.0006545205995751293,0.0006742330727497388,0.0006259345931528712,0.0005829573565808721,0.0006746546336460371,0.001053037376245405,0.0002792410764992261,0.012487891758263963,0.3549690172940553,-0.7462236851281956,0.0002931523428616892,1.8337011218398696,0.06674804273258195,-0.02217222455262674,-1.6082886848386126,0.10782475677856262,-0.009727707293811488,-0.37175122658001686,0.710091252007123,-0.04667956325873532,-2.046188409444194,0.040781479113821906,0.11183939352023874,6.421370806027705,1.4544832005469743e-10,0.5436812270756919,0.04279671595014809,0.3229348467299529,-0.1481054976329238,0.024096504475097306,6009.0,688.0,4134192.0,1.0,1.0,1.0,1.0,0.0
volume_inclusive_icm,-0.0014591635062578918,-0.9028285309180696,-0.01143187331418125,-0.000609349428707931,0.01197540389938682,0.0006995048996940487,0.0007116866327624654,0.0006325800264648993,0.0003832676470385131,0.0008709020053760429,0.0010033814521983359,0.0016541210950349807,0.0011072930446251609,,,-0.00013975369607437045,0.009736716780375602,-0.22785105058830177,-0.7099085741866342,-0.0001372287538114797,-1.1111127520327782,0.2665627741716108,-0.005259389466546611,-0.49266142137133717,0.6222692334884807,-0.052397688402270035,-2.5941486686041615,0.009504791038630778,-0.014443801627083239,-0.8427566381001783,0.39939697355444137,-0.021375161165446924,-1.638851273621104,0.10129482094549247,0.489337822671156,-0.003833323670754608,-0.6171014861814759,-0.25140681913105634,0.006596797435522501,6248.0,688.0,4298624.0,1.0,1.0,1.0,1.0,0.0
composite_momentum,0.010793650291605799,5.3679636260915835,0.06797069213819615,0.9878933670522736,0.013948340970928168,0.0009730274819922038,0.000670732279307869,0.0005904396204830732,0.0006147932696246619,0.0005987684039519533,0.0005869010731139119,0.0005763613845909418,0.0006522607853474559,0.0005838091093841697,0.0009300836183686599,-4.5363688267472074e-05,0.014465390252702019,-0.04978270296688497,-0.8638860369718862,-3.4693656175313075e-05,-0.19068579383318857,0.8487779935554807,-0.029414450487838265,-1.87037728365461,0.06147838000699246,-0.019989650814192926,-0.6718049475858898,0.5017328331831292,-0.012910212149283092,-0.5113394527354231,0.609131537055269,0.13553932433514757,7.054247905545412,1.9235724124655462e-12,0.541285874619208,0.04136793753543219,-0.41043990229679816,-0.20490361332699358,0.023944555995907644,6248.0,688.0,4298624.0,1.0,1.0,1.0,1.0,0.0
industry_co_reversal,0.0016850216116731519,1.0766998830515588,0.013414803195090084,0.010202156968786187,0.011103681380033462,0.0006766710518417946,0.0006296267216335274,0.0006232039283010394,0.0007366247047290838,0.0009424481000441157,-9.193796393015814e-05,0.0014845480143076276,0.005273744012830494,0.004683793062470169,,7.947051050877486e-05,0.00923018503363714,0.13667713481581922,-0.5327022569981517,0.00010251362701821851,0.8950244146346875,0.3708075700787774,-0.005878010474072528,-0.6039430342540183,0.545902842186607,0.01635198150503468,0.8814525105055054,0.3781059247215899,0.010589576508214738,0.6804804165306095,0.4962248414273167,0.0005183566356085916,0.04370113260449242,0.9651439946211395,0.5097795715616268,-0.012584219289896104,-0.40856709900660915,-0.22573964430506432,-0.004369711486726394,6453.0,688.0,4439664.0,1.0,1.0,1.0,1.0,0.0
downside_vol_60d,-0.007701166681844735,-3.375282381721544,-0.04192654754494706,0.9955417598874695,0.014982974204179753,0.0005371407409771953,0.0005217450844439327,0.0005280111524278143,0.0005867841314112161,0.000588443124316331,0.0006167893809736747,0.0007482151781745604,0.0007141600701402567,0.0008509075134047066,0.0013464772407638854,0.0008050767378807586,0.016810450735064042,0.7602530836294699,-0.5858196135235708,0.000805050944993592,3.872661518559089,0.00010871576904203373,0.04507061174420657,2.560055593674465,0.0104880789977988,0.08330327983062792,2.523110067996594,0.011655989653746257,-0.04692831908312094,-1.6605754709616563,0.09684724677517131,-0.09830164492808587,-4.606506477139256,4.173411609853517e-06,0.4823329733065885,-0.025978942460274164,1.4023767891862589,-0.23444591165329398,-0.010610739033553154,6492.0,688.0,4466496.0,1.0,1.0,1.0,1.0,0.0
volatility_60d,-0.008328661392974543,-3.6554697786486567,-0.04541043841530281,0.9950520053920383,0.015276539319906898,0.0005245789727928453,0.0005600120915633682,0.0005656079951766297,0.0005551993488760561,0.0006320325621698737,0.0006205120651427774,0.0006300741361291278,0.0007384016334411766,0.0008345051585738482,0.0013828616816079994,0.0008546175009384768,0.016911234122994556,0.8022260316858534,-0.62785523080127,0.0008572734250687533,4.100218309765938,4.1782242785615153e-05,0.040851062024434434,2.307179557538025,0.021076270206688896,0.07188062734961216,2.1646431074800416,0.0304515245454966,-0.06949576628071122,-2.445208547326892,0.014503351974787249,-0.07700465509889083,-3.588060297746706,0.0003356134735097438,0.48487654320987655,-0.024055834907377335,1.7063728933126825,-0.253352090183682,-0.009245935752590553,6491.0,688.0,4465808.0,1.0,1.0,1.0,1.0,0.0
ivol_60d,-0.007893615493145502,-4.268307110237046,-0.05313840084771878,0.9942973569429213,0.01413451089506604,0.0005322822742151017,0.0005420066282214344,0.0005908491561562514,0.0005586998520060409,0.0006095504694027182,0.0006090909613197837,0.0006271965473905324,0.0006574944497036514,0.0008640833642285501,0.0013648880946045179,0.000830783980718373,0.014931451482395691,0.8832555128837725,-0.5179214053077941,0.0008269388477106602,4.48344026428082,7.4723395235842816e-06,0.05912131845324064,3.774753385655691,0.0001616073758474723,0.05696276606956936,1.919334730063076,0.05498616641254883,-0.05262618124740195,-2.0995849857064592,0.0358042153747109,-0.08888345833277539,-4.6774214031679815,2.964403741589905e-06,0.48078115313081216,-0.020189894104408437,1.7132280767802675,-0.20877996115686337,-0.013609721196856633,6463.0,688.0,4446544.0,1.0,1.0,1.0,1.0,0.0
mean_reversion_5d,0.007167423454780053,4.828133470956319,0.059862605710020216,0.7433202669336996,0.012669358622774725,0.0005483989291231726,0.0005386426385526549,0.0004067784850249605,0.0005559641396742965,0.0005965335422159541,0.0006356549899156081,0.0006877067510536802,0.0007582855191264671,0.0008708803400283382,0.0013709454565435566,0.0008172985066568095,0.01230107970850081,1.0547213643485562,-0.47866932700711706,0.000829765766747113,5.458522197235791,4.9789701694891164e-08,-0.016697857580920007,-1.2985678456756622,0.19413843852059154,-0.002844821061312359,-0.11852270358574608,0.9056571767776691,-0.03384489070949082,-1.6364777711298384,0.10178814353924248,-0.07378423503016923,-4.730649259645353,2.285411254243641e-06,0.5168332052267487,-0.018422391062048127,0.2315329960500891,-0.1738017412777788,0.00045688830349777397,6511.0,688.0,4479568.0,1.0,1.0,1.0,1.0,0.0
high52w_proximity,0.007046151042232451,3.4398609401294085,0.04304873908664863,0.9826367817318273,0.014619952823711913,0.001271055307705269,0.0008145105371308365,0.0007782502250886292,0.0006508771333716349,0.0006711230347022201,0.0006492097965919489,0.0005584973589332066,0.0005739135624988843,0.0005612232663818198,0.00038790343324267214,-0.0008902441540959312,0.0157824319416915,-0.8954379071243916,-0.998720362495646,-0.0008935355972035464,-4.55973941661426,5.217546913183213e-06,-0.03526073675576074,-2.095745572775078,0.0361441537597178,-0.08040937414613883,-2.510067429665208,0.012095416192303698,0.0032839233459699374,0.12335322720283308,0.9018312869231524,0.1623364505043686,7.9178570234021874,2.886579864025407e-15,0.5375097885669538,0.04546253761233766,-0.8500189131879712,-0.32323050942705633,0.022182492522405364,6387.0,688.0,4394256.0,1.0,1.0,1.0,1.0,0.0
dollar_volume_20d,-0.0042881202628469286,-3.9726670656985594,-0.04927108057316123,0.9991780113064902,0.011641267450839536,0.0010646333396004963,0.0008544066955060495,0.0008658147696034199,0.0007868963886497164,0.000663592325253253,0.0006534976113696763,0.0006986188753594568,0.0005486028683711098,0.00046783864898140463,0.00034845330099938956,-0.0007155591044095619,0.007145585155782167,-1.5896736774066793,-0.9926880175910608,-0.0007021682899888855,-8.066637521404163,8.881784197001252e-16,-0.023488520043465327,-3.1894775318578907,0.0014320878134521653,-0.0021928908073907,-0.15958361882253533,0.8732140552403471,0.03747213573866646,3.1646474510146168,0.0015598918442070175,0.010228682161935653,1.1453368275015616,0.2521119341819982,0.47285033071835103,0.03171229224286002,0.1612001238768035,-0.11303610294651811,0.018954661532475717,6512.0,688.0,4480256.0,1.0,1.0,1.0,1.0,0.0
amihud_illiq_20d,0.0014398770475195426,1.0319981308151895,0.012800361425222126,0.9954301675934225,0.015214108072453793,0.0005633397111759365,0.0006378938544235317,0.0007273871595584046,0.0006803842231767608,0.0005838938545218197,0.0005535001534090886,0.0005444062647225808,0.0006004764902532656,0.0007538501020758787,0.001306560905966385,0.0007426121304924475,0.009698050350268755,1.2155641269536699,-0.3396135913901551,0.000737325684135686,6.16407780678948,7.515521538437042e-10,0.004663735372814816,0.46086990839480274,0.644907404057455,0.002134184728080458,0.11289941491567583,0.9101137963220363,-0.006922458595445371,-0.4254651152623502,0.6705117713487196,0.00040155679062081574,0.032719363541024865,0.9738993896797541,0.5012307692307693,-0.00971399563535936,2.1415633270227117,-0.09817345695109181,-0.004858682944914978,6511.0,688.0,4479568.0,1.0,1.0,1.0,1.0,0.0
amihud_illiq_log_20d,0.0014037038910602957,1.0471819893574028,0.01299869685796696,0.9946833402810025,0.01474831719716144,0.0006743653070041672,0.0006528447512141812,0.0006085646812845278,0.000603836259969657,0.0006032992338816041,0.0005612113826090236,0.000597689069143279,0.0005981576951047646,0.0008084069948378314,0.0013059728630603958,0.0006283840694452294,0.009495196077651731,1.0505615441685445,-0.3087952479717807,0.0006237415678904176,5.3279703818777815,1.0266848304851806e-07,-0.0025191593855514193,-0.2541150914021452,0.7994147173871191,0.01833488712643815,0.9882517786926329,0.323066299434148,0.027415590421960047,1.7224977264955432,0.08502716766299478,-0.01903408335967253,-1.5840190408305694,0.11323824487957257,0.5024653312788906,-0.013013240105012066,1.8625450570203337,-0.09824720852581015,-0.003067991092647844,6492.0,688.0,4466496.0,1.0,1.0,1.0,1.0,0.0
amihud_illiq_252d,0.0018345373775138466,1.3277901852598517,0.01661816301871548,0.9992265583780356,0.014860626742335204,0.0006493060493377119,0.0005814848669573741,0.0007321784599503625,0.0006403199820535191,0.0005040528095262497,0.00048793696278163123,0.0006372414961139347,0.0006674407476411753,0.0007157776909367145,0.00130233286223265,0.0006488142421820577,0.009528939575239028,1.0808764931311874,-0.3274570177327434,0.0006461702210592289,5.451266113863899,5.189078100542588e-08,-0.010792709045778441,-1.060495266195612,0.28895957495218494,-0.028145421859756076,-1.4524037418457316,0.14643866049045529,-0.00987554247101596,-0.6132749004618513,0.539716496457944,0.00202862292876009,0.16358640628852456,0.8700619396495639,0.5117481203007519,-0.004936130540269403,1.2634151322223126,-0.09567446339041441,-0.006889479178321733,6395.0,688.0,4399760.0,1.0,1.0,1.0,1.0,0.0
efficiency_ratio_252d,0.01109957021132581,5.664555579058738,0.07160577720783057,0.9924811597528359,0.012284539290715955,0.0007893870156950106,0.0006741925794659018,0.0007277854209540698,0.0007491648303852372,0.0007046642505674918,0.0005845435171779727,0.0006973043363253279,0.0006298125648334434,0.0005694389730906662,0.0006808459626300261,-0.00011018481432411044,0.011578707385993942,-0.15106433243665504,-0.8381880996207388,-0.0001000554680291825,-0.6918499431412158,0.4890573096503039,-0.031390384208306754,-2.5112816238585576,0.01205443152364638,-0.03925782005923445,-1.6597373593844487,0.09701754904059623,0.003776163791296947,0.18990337442007366,0.8493910251392522,0.13561427666664708,8.968493113056402,0.0,0.5437839565356344,0.04497183024532069,0.04383435573194975,-0.15717298523124867,0.024891299976869778,6260.0,688.0,4306880.0,1.0,1.0,1.0,1.0,0.0
size_log_mktcap,0.002629894522767027,1.5083661347086994,0.021192109070144776,0.9994939295785117,0.011133708492471622,0.001225146603267914,0.0009054331940610996,0.0007214220996087807,0.0006148246604028475,0.0005303520633844746,0.0005452290135453259,0.0005191196759411577,0.000567333453118048,0.0004938017295824627,0.0004974112190951972,-0.0007291181660438522,0.010764145194179982,-1.0752727553923462,-0.9829780656385083,-0.000717059673611107,-4.791381050001314,1.703839852540412e-06,-0.022510793985965154,-1.7725258962869628,0.07636759924823555,-0.029474694145691278,-1.213819756701427,0.22487334645098445,0.017712132522468095,0.8618723990144218,0.3887986778628192,0.06134531428021292,3.8475274278191858,0.00012078824745187511,0.5100671140939598,0.03835954945353795,-0.8302564187656954,-0.3146538046660605,0.027233377959631672,5068.0,688.0,3486784.0,1.0,1.0,1.0,1.0,0.0
profitability_roe,0.006697312214575362,5.236788434534525,0.0780567603311009,0.9985024825373779,0.01067684827791103,0.0009624115610122731,0.0005901331638044986,0.0005518647093828693,0.000613780026605409,0.0006049812990392872,0.0006126236555124214,0.0006221642630747009,0.000687735964049028,0.000643053210218469,0.0007645264707350764,-0.00019768911639728062,0.008099964854503525,-0.38743593209580496,-0.7550304416794449,-0.00017028745934172498,-1.4331418191803185,0.15188704488829585,-0.022421072919687302,-2.293892098426191,0.021842735266272895,-0.0104624871717574,-0.5590814511683626,0.5761340598954292,0.02943350112837714,1.8981579871118825,0.05773944269276354,0.05137121411243876,4.210666218329857,2.5961148826914027e-05,0.5323261497445012,0.0044052933630719235,-0.9691034128098334,-0.2169372291982642,0.0033879752988055286,4512.0,688.0,3104256.0,1.0,1.0,1.0,1.0,0.0
residual_vol_252d,-0.0065868513207814686,-3.321800723986337,-0.041984250907469656,0.9992049776665244,0.013952127847667811,0.0005337494266842121,0.0005202144708073841,0.000519979798430642,0.0005334303223874337,0.0005919095354115523,0.0005865881638940695,0.0005721567637606854,0.000687078069596187,0.000824879391157727,0.0014461618896126037,0.0009131828579493429,0.014564793538022326,0.9952992758959136,-0.46440479020792835,0.0009032189981979007,4.943946375749816,7.855685144608771e-07,0.05826899359197446,3.693185987444264,0.00022335390548167133,0.029661683381934843,0.9925335623172452,0.3209757886141549,-0.0354730928345275,-1.412661068751171,0.15780526018414864,-0.08939768861323241,-4.679946158732627,2.9300760011619076e-06,0.48753993610223645,-0.0250621885608044,1.1334662622051133,-0.27996149983055507,-0.014192235133056966,6271.0,688.0,4314448.0,1.0,1.0,1.0,1.0,0.0
earnings_yield,0.0020436653054816296,1.5901379378357114,0.022340979315143155,0.9977894233871332,0.012156622874771393,0.0011484429148534514,0.0007029176137923548,0.0005921261355335842,0.0005203101927841475,0.0005885120675228496,0.0006440456365703627,0.0005751679930324236,0.0005557539836985794,0.0006061356085065835,0.0006865714514720187,-0.00046124616623221393,0.008651400361412659,-0.8463434343938722,-0.9358376722480126,-0.000447471414798732,-3.746393761947387,0.00018139643935310978,-0.039000801174861224,-3.8478489645472562,0.00012063033459464023,0.002881767559335423,0.14869848906687008,0.8817974930776276,-0.0030046186917927855,-0.183191026988454,0.8546554916791842,0.05439868103217853,4.274953658505839,1.947026096882354e-05,0.5003947887879984,0.02174597661949128,-0.26041246555639,-0.30962280742358617,0.010410433440040173,5077.0,688.0,3492976.0,1.0,1.0,1.0,1.0,0.0
